MPCode	MP0311	MP0313	MP0315	MP0317	MP0319	MP0321	MP0323	MP0528	MP0530	MP0532	MP0534	MP0536	MP0538	MP0540	MP0778	MP0780	MP0782	MP0784	MP0786	MP0788	MP0790	MP0878	MP0880	MP0882	MP0884	MP0886	MP0888	MP1154	MP1162	MP1164	MP1166	MP1174	MP1176	MP1178	MP1409	MP1411	MP1413	MP1415	MP1417	MP1419	MP1421	MP1517	MP1519	MP1521	MP1523	MP1525	MP1527	MP1529	MP1672	MP1674	MP1676	MP1678	MP1680	MP1682	MP1684	MP1845	MP1847	MP1849	MP1851	MP1853	MP1855	MP1857	MP2231	MP2233bis	MP2235	MP2237	MP2239	MP2241	MP2243	MP2809	MP2811	MP2813	MP2815	MP2817	MP2819	MP2821
MP-RGC-v4_007687178	0.0	0.0	0.000941978602863	0.000425990232074	0.0	0.0	0.0	0.0	0.0	0.000222493040372	0.000478289177978	0.00097864432044	0.000130943367038	0.0	0.0	0.0	0.0	0.0	0.000177643377724	8.00869595135e-05	0.0	0.0	0.000136380800328	0.000278886570353	8.94436065668e-05	0.0	0.0	0.0	0.000226671860165	8.99473511341e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000387791672307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000742729702062	0.0	0.0	0.0	0.0	0.0	0.0	0.000331136269338	0.0	0.0	0.0	0.0	0.0	0.000599339572847	0.000117689313025	0.0	0.0	0.0	0.0	0.0	0.000112382349036	0.0	0.0	0.0	0.0	0.0	0.000184595360825	0.00107077561973	0.000230474100233	0.0	0.0	0.0
MP-RGC-v4_007706153	0.0	0.0	0.00327053720471	0.000876464331057	0.000953069590655	0.0	0.0	0.0	0.0	0.00251774854535	0.000246017028599	0.00100676502064	0.0	0.0	0.0	0.0	0.0	0.000147285112403	0.000365495859885	0.0	0.0	0.0	0.000280599660183	0.00124323325912	0.000276041076283	0.0	0.0	0.000487663979635	0.00104933296005	0.000185064144673	0.000169832446809	0.0	0.0	0.0	0.0	0.000288889056444	0.000797871742277	0.0	0.0	0.0	0.0	0.0	0.000909677480626	0.000367796848801	0.000764073281306	0.000287658040943	0.0	0.0	0.0	0.000181089348508	0.000695344912071	0.000681302827337	0.000437087316617	0.000912647949353	0.0	0.0	0.000159570526596	0.000616562174131	0.000242142450863	0.0	0.0	0.0	0.000371678760364	0.000748198404285	0.000346834679123	8.38538374668e-05	0.000201074802323	0.0	0.0	0.0	0.00170909793814	0.00122393815487	0.000316128979026	0.000504936267119	0.0	0.0
MP-RGC-v4_008820074	0.0	0.0	0.000115173630431	0.0	9.06197886609e-05	0.0	0.00500414259791	0.0	0.0	0.0	0.0	0.0	0.0	0.000596647755562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000565535931304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000137340642106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000121082601008	0.0	0.00369651462264	0.00605025269301	0.0	0.0	0.0	0.0	0.0	0.0	0.000146718056529	0.0	0.0	0.0	0.0	0.0	0.00046909031599	0.0	0.0	0.0	0.0	0.0	0.0	0.00296108411755	0.0	0.0	0.0	0.0	0.000225436063301	0.0	0.000196664483297	0.0
MP-RGC-v4_009636781	0.0	0.00347908300573	0.000480382163994	0.0	0.0	0.0	0.0	0.0	0.00379867142857	0.00363088282734	0.00561002452837	0.00018148410029	0.0	0.0	0.0	0.0	0.0001646014386	0.0	0.000181186324265	0.0	0.0	0.00142639911082	0.00194740157019	9.48160424924e-05	0.0	0.0	0.0	0.00145048960543	0.0012715509896	0.000183482746629	0.000168381205674	0.0	0.0	0.0	0.00119912594526	0.000572839413086	0.0	0.0	0.0	0.0	0.0	0.0	0.0009019032062	0.00133705794263	0.000252514724065	0.0	0.0	0.0	0.0	0.000718166521723	0.0	0.0	0.0	0.0	0.0	0.00023642401912	0.000632826894564	0.000122258583622	0.000240073311003	0.0	0.0	0.0	0.000982673030409	0.000847775484015	0.0	0.0	0.0	0.0	0.0	0.000466432141059	0.00150621332276	0.00145617173524	7.835673856e-05	0.0	0.0	0.0
MP-RGC-v4_009941281	0.0	0.0024335573685	0.00087364813597	0.000197545436869	0.0	0.0	0.0	0.0	0.00271404285714	0.00350801103982	0.00144169053153	0.0	0.0	0.0	0.0	0.000612180770935	0.0	0.0	0.0	7.42775307283e-05	0.0	0.000648531046292	0.000379463030232	8.62187122475e-05	0.0	0.0	0.0	0.00278448875689	0.00168182924751	0.0	0.0	0.0	0.0	0.0	0.00230194873522	0.00208358843666	0.0	0.0	0.0	0.0	0.0	0.0	0.00196829889075	0.00198953013606	0.0	0.0	0.0	0.0	0.0	0.000979572352252	0.000313446216947	0.000204744235671	0.0	0.000182845285735	0.0	0.000644958673571	0.00129475402735	0.000222346383099	0.0	0.0	0.0	0.0	0.000446785146094	0.000867267756514	0.0	0.0	0.0	0.0	0.0	0.000424138947213	0.00205446074544	0.000220690007667	0.0	0.0	0.0	0.0
MP-RGC-v4_009959940	0.0	0.00141546547181	0.00103940260003	0.000313366274348	9.0868042427e-05	0.0	0.0	0.0	0.000652315714286	0.00218225264944	0.00175918529839	0.000261784321969	0.0	0.0	0.0	0.000323700487373	0.000158287893232	0.000280850016914	8.71181363758e-05	0.0	0.0	0.000823012106101	0.000668826165925	0.000455896125161	0.000175456056254	0.0	0.0	0.000929902418328	0.0010004601115	8.82223037984e-05	0.0	0.0	0.0	0.0	0.000896879778891	0.000275433172983	0.000380355264939	0.0	0.0	0.0	0.0	0.0	0.000867309299499	0.000584444956418	0.000849899623755	0.0	0.0	0.0	0.0	0.000172655121564	0.0011601767663	0.000541308754668	0.000312547628283	9.6682335006e-05	0.0	0.000227355606453	0.000304276408949	0.000470276915947	0.0	0.0	0.0	0.0	0.000354368605539	0.000611443396753	0.0	0.0	0.0	0.0	0.0	0.000224270330669	0.0012673850119	0.000933547150524	0.000150702156801	0.0	0.0	0.0
MP-RGC-v4_010184750	0.0	0.00148888982824	0.00242959937276	0.000769115510872	0.0	0.0	0.0	0.0	0.000137230714286	0.00206591634109	0.00431770024015	0.0	0.0	0.0	0.0	0.000170246344705	0.000166498830055	0.0	9.16372534056e-05	0.0	0.0	0.000288568295833	0.00225125966721	0.00038363601873	0.0	0.0	0.0	0.0011411624947	0.00327399761424	0.0	0.0	0.0	0.0	0.0	0.000404315557613	0.00202804879888	0.000100021345051	0.0	0.0	0.0	0.0	0.0	0.00200706579547	0.000614761484212	0.000383136790885	0.0	0.0	0.0	0.0	0.000363222671759	0.000348674252736	0.000341632386936	0.0	0.0	0.0	0.000239149322844	0.00240045312943	0.00086567452399	0.0	0.0	0.0	0.0	0.000869750236053	0.00139351671037	0.00034783406356	0.0	0.0	0.0	0.0	0.000117952259918	0.00190447065821	0.00233218757986	0.000317039885147	0.0	0.0	0.0
MP-RGC-v4_010209124	0.0	0.0	0.000238155698316	0.000430804424161	0.000562150006965	0.0	0.0	0.0	0.0	0.0	0.0	0.00170948631708	0.0	0.0	0.0	0.0	0.0	0.0	0.000269475712596	0.000161983812284	0.0	0.0	0.0	0.000564075120558	0.000633179953698	0.0	0.0	0.0	0.000114616452029	0.000818673441787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00137705571879	0.0	0.0	0.0	0.0	0.0	0.0	0.000111625866872	0.0	0.000199373266425	0.0	0.0	0.0	0.000242444996588	0.000595095746698	9.63432102808e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000186681205393	0.00324861998467	0.000388463505998	0.0	0.0	0.0
MP-RGC-v4_010267591	0.0	0.0006767651576	0.00145776215287	0.00186785849089	0.00047790790233	0.0	6.94492441385e-05	0.0	0.000823384285714	0.00183636211573	0.00172708009606	0.00477297049381	0.0	0.0	0.0	0.000170246344705	0.0	0.0	0.00109964894875	0.0	0.0	0.000288568295833	0.000703519744551	0.00210999510778	0.000738231875426	8.55362628556e-05	0.0	0.000978140008485	0.00105235654989	0.00287676301248	0.0021290248227	0.0	0.0	0.00016053728849	0.000404315557613	0.000434581454617	0.000600128070303	0.000181580439673	0.0	0.0	0.0	0.0	0.000364919845008	0.000737714549015	0.00217111823125	0.0	0.0	0.0	0.0	0.000363222671759	0.000348674252736	0.0011387765989	0.00065752013507	0.000610185479261	0.0	0.000239149322844	0.000480090625885	0.000742007286584	0.0013356253555	0.000491433044119	0.0	0.0	0.000248500252221	0.000750354293366	0.000231889778035	0.0	0.0	0.0	0.0	0.0	0.00152357652657	0.00368239202658	0.0012681562402	0.000303834515915	0.0	0.0
MP-RGC-v4_010394516	0.0	0.000265353454228	0.000595389245789	0.000753907742282	0.00103060635609	0.0	0.0	0.0	0.0	0.0	0.000362770807382	0.0028791278092	0.000132422968203	0.0	0.0	0.0	0.0	0.0	0.000988075704964	0.0	0.0	0.0	0.0	0.000940125200931	0.000271362837299	0.000167689773385	0.0	0.0	0.0	0.00163735074771	0.000667815602837	0.0	0.0	0.000314725715479	0.0	0.0	0.000490217719516	0.000266984859082	0.0	0.0	0.0	0.0	0.0	0.0	0.00225337357246	0.000188521948045	0.0	0.0	0.0	0.0	0.0	0.000223251733744	0.000859357959342	0.000199373266425	0.0	0.0	0.0	0.000121222498294	0.00107117234406	0.000289029630842	0.0	0.0	0.0	0.0	0.000568261095219	0.0	0.0	0.0	0.0	0.0	0.000373362410785	0.00144382826476	0.000466156207198	0.000595654145009	0.0	0.0
